id,sra_id,output
danio_rerio_smart-seq_whole_kidney_marrow_srr5810761,SRR5810761,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810762,SRR5810762,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810763,SRR5810763,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810764,SRR5810764,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810765,SRR5810765,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810766,SRR5810766,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810767,SRR5810767,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810768,SRR5810768,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810769,SRR5810769,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810770,SRR5810770,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810771,SRR5810771,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810772,SRR5810772,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810773,SRR5810773,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810774,SRR5810774,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
