id,ignore_abundance,signature,database_name,output,ksize,sequence_to_compare,database
G9_B003511_S57_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/G9_B003511_S57.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/G9_B003511_S57_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
H7_B003588_S211_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/H7_B003588_S211.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/H7_B003588_S211_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
H7_B003588_S211_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/H7_B003588_S211.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/H7_B003588_S211_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
H7_B003588_S211_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/H7_B003588_S211.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/H7_B003588_S211_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
H7_B003588_S211_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/H7_B003588_S211.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/H7_B003588_S211_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
I22_B002095_S22_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I22_B002095_S22.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/I22_B002095_S22_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
I22_B002095_S22_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I22_B002095_S22.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/I22_B002095_S22_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
I22_B002095_S22_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I22_B002095_S22.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/I22_B002095_S22_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
I22_B002095_S22_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I22_B002095_S22.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/I22_B002095_S22_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
I3_B003573_S63_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I3_B003573_S63.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/I3_B003573_S63_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
I3_B003573_S63_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I3_B003573_S63.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/I3_B003573_S63_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
I3_B003573_S63_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I3_B003573_S63.signature,tabula-muris-k33-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k33-protein/I3_B003573_S63_ignore-abundance=True.csv,33,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k33-protein/tabula-muris-k33-protein/
I3_B003573_S63_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/I3_B003573_S63.signature,tabula-muris-k51-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k51-protein/I3_B003573_S63_ignore-abundance=True.csv,51,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k51-protein/tabula-muris-k51-protein/
J11_B003573_S95_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J11_B003573_S95.signature,tabula-muris-k21-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k21-protein/J11_B003573_S95_ignore-abundance=True.csv,21,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k21-protein/tabula-muris-k21-protein/
J11_B003573_S95_ignore-abundance=True,True,s3://olgabot-maca/lung_cancer/sourmash_v4/J11_B003573_S95.signature,tabula-muris-k27-protein,s3://olgabot-maca/lung_cancer/sourmash_search/tabula-muris-k27-protein/J11_B003573_S95_ignore-abundance=True.csv,27,protein,s3://olgabot-maca/facs/sourmash_index_all/tabula-muris-k27-protein/tabula-muris-k27-protein/
